t  [s],z_wf_1  [m]
182.6,0.3608959
182.8,0.3901767
183,0.4090116
183.2,0.4171081
183.4,0.4144729
183.6,0.4014019
183.8,0.3784588
184,0.3464418
184.2,0.306343
184.4,0.2593029
184.6,0.2065644
184.8,0.1494322
185,0.08924052
185.2,0.02733003
185.4,-0.03496547
185.6,-0.0963269
185.8,-0.1554554
186,-0.211079
186.2,-0.2619626
186.4,-0.3069209
186.6,-0.3448329
186.8,-0.3746555
187,-0.3954361
187.2,-0.4063235
187.4,-0.4065821
187.6,-0.3956125
187.8,-0.3729846
188,-0.3384829
188.2,-0.2921651
188.4,-0.234425
188.6,-0.1660518
188.8,-0.08827265
189,-0.002769699
189.2,0.08833581
189.4,0.1825337
189.6,0.2770051
189.8,0.3687237
190,0.4545697
190.2,0.5314453
190.4,0.5963863
190.6,0.6466666
190.8,0.6798957
191,0.6941106
191.2,0.6878634
191.4,0.6603037
191.6,0.6112512
191.8,0.541252
192,0.4516098
192.2,0.3443846
192.4,0.2223527
192.6,0.0889277
192.8,-0.05195618
193,-0.1959908
193.2,-0.3386618
193.4,-0.4754262
193.6,-0.6018901
193.8,-0.7139764
194,-0.8080752
194.2,-0.8811716
194.4,-0.9309461
194.6,-0.9558454
194.8,-0.9551234
195,-0.9288515
195.2,-0.8779006
195.4,-0.8038961
195.6,-0.7091486
195.8,-0.5965635
196,-0.4695317
196.2,-0.3318042
196.4,-0.1873549
196.6,-0.04023571
196.8,0.1055706
197,0.2462903
197.2,0.3784847
197.4,0.4991522
197.6,0.6058008
197.8,0.6964867
198,0.7698187
198.2,0.8249328
198.4,0.8614448
198.6,0.8793891
198.8,0.879154
199,0.8614222
199.2,0.8271214
199.4,0.7773886
199.6,0.7135489
199.8,0.6371037
