t,Delta_t,x_wf,y_wf,z_wf,phi_wf,psi_wf,theta_wf,zeta
[s],[s],[m],[m],[m],[rad],[rad],[rad],[m]
38.0,0.2,-0.05134546,0.07621927,0.03520847,-0.003305246,0.0007502199,0.003426847,0.8368852
38.2,0.2,-0.05581638,0.06595564,0.07870633,-0.003192833,0.001127562,0.00196131,0.510101
38.4,0.2,-0.05891947,0.05425526,0.1148776,-0.003043981,0.001425798,0.000583259,0.1250016
38.6,0.2,-0.06070325,0.04191015,0.1425632,-0.002862449,0.001638454,-0.000628636,-0.2412879
38.8,0.2,-0.06123798,0.02969495,0.1610488,-0.002646701,0.001764543,-0.00160807,-0.5273295
39.0,0.2,-0.06060088,0.01830031,0.1701132,-0.002392852,0.001807567,-0.002305903,-0.7068813
39.2,0.2,-0.05886393,0.008274413,0.1700521,-0.002098433,0.001774191,-0.002694008,-0.7900515
39.4,0.2,-0.05608761,-1.832693e-05,0.161669,-0.001765956,0.001672926,-0.002767644,-0.8076387
39.6,0.2,-0.05232202,-0.006414507,0.1462253,-0.001405301,0.001513167,-0.00254594,-0.7886758
39.8,0.2,-0.0476153,-0.01094243,0.1253518,-0.00103419,0.00130474,-0.002070286,-0.7439488
40.0,0.2,-0.04202674,-0.01378914,0.1009268,-0.0006765769,0.001057951,-0.001400692,-0.6640931
40.2,0.2,-0.03564098,-0.01525117,0.07493406,-0.000359297,0.0007839462,-0.0006104602,-0.5322677
40.4,0.2,-0.02857904,-0.01567935,0.04931465,-0.0001077835,0.0004950516,0.0002202797,-0.3431178
40.6,0.2,-0.02100326,-0.01542782,0.02582888,5.813739e-05,0.000204814,0.001011434,-0.1162058
40.8,0.2,-0.01311421,-0.01481508,0.005941038,0.0001274692,-7.245348e-05,0.001689503,0.1048521
41.0,0.2,-0.005140296,-0.01410065,-0.009264365,9.970758e-05,-0.0003226145,0.002193191,0.2683972
41.2,0.2,0.002677926,-0.01347684,-0.01913089,-1.518191e-05,-0.0005329589,0.002477623,0.3382424
41.4,0.2,0.0101056,-0.0130715,-0.02344322,-0.000198189,-0.0006934554,0.002516932,0.3124996
41.6,0.2,0.01693033,-0.01295654,-0.02240848,-0.0004235538,-0.000797694,0.002305197,0.2273718
41.8,0.2,0.02297543,-0.01315764,-0.0166107,-0.0006613724,-0.0008432974,0.001855843,0.1428749
42.0,0.2,0.02810833,-0.01366258,-0.006943859,-0.0008801049,-0.0008317453,0.001199715,0.1165046
42.2,0.2,0.032244,-0.01442785,0.005471301,-0.00104883,-0.0007677279,0.0003820759,0.1770593
42.4,0.2,0.03534446,-0.01538536,0.01938139,-0.001139304,-0.0006582653,-0.0005412151,0.3110438
42.6,0.2,0.03741543,-0.01645094,0.03349999,-0.001127978,-0.0005118588,-0.001508092,0.4682306
