t  [s],Delta_t  [s],z_wf  [m],phi_wf  [rad],theta_wf  [rad],zeta  [m]
32.8,0.2,-0.1533598,-0.007173212,0.01747627,-0.3489619
33.0,0.2,-0.2595103,-0.006372252,0.0193306,-0.5605267
33.2,0.2,-0.3617275,-0.005328745,0.02070203,-0.7268409
33.4,0.2,-0.4574549,-0.004055999,0.02155454,-0.8365474
33.6,0.2,-0.5443476,-0.002571081,0.02186404,-0.8888019
33.8,0.2,-0.6203245,-0.000894041,0.02161795,-0.8939928
34.0,0.2,-0.6836062,0.000952649,0.02081494,-0.8711822
34.2,0.2,-0.7327367,0.002944282,0.01946495,-0.8428565
34.4,0.2,-0.7665912,0.005053579,0.01758952,-0.8284897
34.6,0.2,-0.7843741,0.007249784,0.01522227,-0.8388784
34.8,0.2,-0.7856101,0.009497265,0.01240951,-0.8730304
35.0,0.2,-0.7701343,0.01175383,0.009210407,-0.9186179
35.2,0.2,-0.7380843,0.01396906,0.005696781,-0.9558797
35.4,0.2,-0.6898988,0.01608318,0.001952071,-0.9637487
35.6,0.2,-0.6263222,0.01802677,-0.001930431,-0.9262603
35.8,0.2,-0.5484154,0.01972194,-0.005850077,-0.8372273
36.0,0.2,-0.45757,0.02108509,-0.00970187,-0.7017657
36.2,0.2,-0.3555209,0.02203142,-0.01337974,-0.5343173
36.4,0.2,-0.2443524,0.02248097,-0.01677981,-0.3539687
36.6,0.2,-0.1264908,0.02236551,-0.01980347,-0.1787113
36.8,0.2,-0.004678567,0.02163574,-0.02236017,-0.02054729
37.0,0.2,0.1180766,0.02026758,-0.02436995,0.1170393
37.2,0.2,0.2385775,0.01826685,-0.02576584,0.2385986
37.4,0.2,0.3535402,0.01567143,-0.02649613,0.3536055
37.6,0.2,0.4597179,0.01255049,-0.02652673,0.4719546
37.8,0.2,0.5540399,0.009000855,-0.02584336,0.5996652
38.0,0.2,0.6337555,0.00514083,-0.02445355,0.736213
38.2,0.2,0.6965718,0.001102294,-0.02238807,0.8742526
38.4,0.2,0.7407725,-0.002977953,-0.01970139,1.001631
38.6,0.2,0.7653095,-0.006966574,-0.01647098,1.104836
38.8,0.2,0.7698576,-0.01074089,-0.01279516,1.172611
39.0,0.2,0.7548288,-0.01419429,-0.008789482,1.19856
39.2,0.2,0.7213455,-0.01723959,-0.004581925,1.182007
39.4,0.2,0.6711759,-0.01981044,-0.0003072704,1.127055
39.6,0.2,0.6066367,-0.0218611,0.003898879,1.040406
39.8,0.2,0.530472,-0.02336515,0.007905869,0.9288477
40.0,0.2,0.4457153,-0.02431371,0.01159312,0.7972977
40.2,0.2,0.3555456,-0.02471344,0.01485432,0.6480328
40.4,0.2,0.2631439,-0.02458485,0.01760053,0.4812249
40.6,0.2,0.1715576,-0.02396072,0.01976239,0.2964896
40.8,0.2,0.08357941,-0.02288468,0.02129137,0.09485838
41.0,0.2,0.001645274,-0.02140966,0.02216057,-0.1194757
41.2,0.2,-0.07224675,-0.01959598,0.02236495,-0.338154
41.4,0.2,-0.1365931,-0.01750896,0.02192134,-0.5486637
41.6,0.2,-0.1904173,-0.0152159,0.02086791,-0.7353847
41.8,0.2,-0.2332771,-0.01278289,0.01926314,-0.8814974
42.0,0.2,-0.2652491,-0.01027154,0.01718394,-0.9714582
42.2,0.2,-0.2868891,-0.00773626,0.01472288,-0.9936855
42.4,0.2,-0.2991722,-0.005222537,0.01198432,-0.9430532
42.6,0.2,-0.3034137,-0.00276646,0.009079725,-0.82275
42.8,0.2,-0.3011751,-0.0003956256,0.006122388,-0.645052
43.0,0.2,-0.2941601,0.001868815,0.003222063,-0.430628
43.2,0.2,-0.2841064,0.004009476,0.0004799592,-0.2061957
43.4,0.2,-0.2726819,0.006010078,-0.002015397,-0.0006801067
43.6,0.2,-0.2613914,0.007853514,-0.004191169,0.1595627
43.8,0.2,-0.2515012,0.009521133,-0.005991973,0.255529
44.0,0.2,-0.2439859,0.01099349,-0.007380512,0.2792445
44.2,0.2,-0.2394982,0.01225236,-0.008337351,0.2353323
